"id","title","corrected_url","source"
"blackberry-lavender-white-chocolate-clafoutis","Blackberry Lavender White Chocolate Clafoutis","https://www.halfbakedharvest.com/blackberry-lavender-white-chocolate-clafoutis/","HBH"
"blackberry-lilac-mojito","Blackberry Lilac Mojito","https://www.halfbakedharvest.com/blackberry-lilac-mojito/","HBH"
"blueberry-lemon-poppy-seed-scones","Blueberry Lemon Poppy Seed Scones","https://www.halfbakedharvest.com/blueberry-lemon-poppy-seed-scones/","HBH"
"blueberry-melon-feta-fruit-salad-stacks","Blueberry, Melon, Feta, Fruit Salad Stacks","https://www.halfbakedharvest.com/blueberry-melon-feta-fruit-salad-stacks/","HBH"
"bourbon-cherry-old-fashioned","Bourbon Cherry Old Fashioned","https://www.halfbakedharvest.com/bourbon-cherry-old-fashioned/","HBH"
"bourbon-pecan-cherry-hand-pies","Bourbon Pecan Cherry Hand Pies","https://www.halfbakedharvest.com/bourbon-pecan-cherry-hand-pies/","HBH"
"breakfast-tacos-al-pastor","Breakfast Tacos Al Pastor","https://www.halfbakedharvest.com/breakfast-tacos-al-pastor/","HBH"
"brie-stuffed-crispy-baby-potatoes","Brie Stuffed Crispy Baby Potatoes","https://www.halfbakedharvest.com/brie-stuffed-crispy-baby-potatoes/","HBH"
"brown-sugar-oatmeal-cookie-cookie-dough-ice-cream-sandwiches","Brown Sugar Oatmeal Cookie, Cookie Dough Ice Cream Sandwiches","https://www.halfbakedharvest.com/brown-sugar-oatmeal-cookie-cookie-dough-ice-cream-sandwiches/","HBH"
"browned-butter-sugar-cookie-bars-with-white-chocolate-frosting","Browned Butter Sugar Cookie Bars with White Chocolate Frosting","https://www.halfbakedharvest.com/browned-butter-sugar-cookie-bars-with-white-chocolate-frosting/","HBH"
"brunch-bruschetta-bar","Brunch Bruschetta Bar","https://www.halfbakedharvest.com/brunch-bruschetta-bar/","HBH"
"brussels-sprout-mushroom-pizza-with-crispy-prosciutto-and-sage","Brussels Sprout Mushroom Pizza with Crispy Prosciutto and Sage","https://www.halfbakedharvest.com/brussels-sprout-mushroom-pizza-with-crispy-prosciutto-and-sage/","HBH"
"buddy-the-elf-cocktail","Buddy the Elf Cocktail","https://www.halfbakedharvest.com/buddy-the-elf-cocktail/","HBH"
"buffalo-cheddar-soft-pretzel-twists-with-everything-spice-","Buffalo Cheddar Soft Pretzel Twists with Everything Spice.",NA,"Unknown"
"buffalo-chicken-dip-sliders","Buffalo Chicken Dip Sliders","https://www.halfbakedharvest.com/buffalo-chicken-dip-sliders/","HBH"
"burst-cherry-tomato-artichoke-and-zucchini-pesto-pizza","Burst Cherry Tomato, Artichoke, and Zucchini Pesto Pizza",NA,"Unknown"
"butter-pecan-frosted-fudge-brownies-","Butter Pecan Frosted Fudge Brownies.","https://www.halfbakedharvest.com/butter-pecan-frosted-fudge-brownies/","HBH"
"buttermilk-pancakes-with-chamomile-cream-and-gingered-strawberries","Buttermilk Pancakes with Chamomile Cream and Gingered Strawberries","https://www.halfbakedharvest.com/buttermilk-pancakes-with-chamomile-cream-and-gingered-strawberries/","HBH"
"butternut-squash-and-sun-dried-tomato-white-lasagna","Butternut Squash and Sun-Dried Tomato White Lasagna","https://www.halfbakedharvest.com/butternut-squash-and-sun-dried-tomato-white-lasagna/","HBH"
"buttery-parker-house-rolls-","Buttery Parker House Rolls.","https://www.halfbakedharvest.com/buttery-parker-house-rolls/","HBH"
"california-chicken-avocado-and-goat-cheese-salad","California Chicken, Avocado and Goat Cheese Salad","https://www.halfbakedharvest.com/california-chicken-avocado-and-goat-cheese-salad/","HBH"
"caramelized-balsamic-goat-cheese-pasta-","Caramelized Balsamic Goat Cheese Pasta.","https://www.halfbakedharvest.com/caramelized-balsamic-goat-cheese-pasta/","HBH"
"caramelized-garlic-butter-toast-with-pan-fried-mushrooms","Caramelized Garlic Butter Toast with Pan Fried Mushrooms","https://www.halfbakedharvest.com/caramelized-garlic-butter-toast-with-pan-fried-mushrooms/","HBH"
"cauliflower-rice-carne-asada-bowls-with-mango-salsa","Cauliflower Rice Carne Asada Bowls with Mango Salsa",NA,"Unknown"
"cheese-fondue-board-","Cheese Fondue Board.","https://www.halfbakedharvest.com/cheese-fondue-board/","HBH"
"cheesy-chipotle-adobo-chicken-quesadillas","Cheesy Chipotle Adobo Chicken Quesadillas","https://www.halfbakedharvest.com/cheesy-chipotle-adobo-chicken-quesadillas/","HBH"
"cheesy-hasselback-potato-au-gratin","Cheesy Hasselback Potato Au Gratin","https://www.halfbakedharvest.com/cheesy-hasselback-potato-au-gratin/","HBH"
"cheesy-sweet-and-sour-pomegranate-thai-chicken-enchiladas","Cheesy Sweet and Sour Pomegranate Thai Chicken Enchiladas",NA,"Unknown"
"cheesy-zucchini-roasted-corn-tacos-with-mango-salsa-verde","Cheesy Zucchini Roasted Corn Tacos With Mango Salsa Verde",NA,"Unknown"
